Ontology ID,LABEL,alternative label,alternative label,Parent,Definition,Reference,Term editors,Comment
ID,A rdfs:label,AL alternative term@zh SPLIT=|,AL alternative term@en SPLIT=|,C %,A definition SPLIT=|,A definition source SPLIT=|,A term editor SPLIT=|,A rdfs:comment
OBCS:0000251,uncertainty,不确定性,,disposition,"A disposition that inheres in some objects, which prevents accurate prediction or determination of the quality of a material entity. It is realized in objective process or subjective process.",,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000252,objective uncertainty,客观不确定性,Ontological uncertainty|Aleatory uncertainty|Natural variability|Random or stochastic variation|External uncertainty|Statistical probability|Chance,uncertainty,An uncertainty that inheres in an objective continuant.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2002561/,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000253,subjective uncertainty,主观不确定性,Epistemic uncertainty|Knowledge uncertainty|Functional uncertainty|Internal uncertainty|Inductive probability|probability,uncertainty,An uncertainty that inheres in an organism (in especial human) and results from subjective cognition.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2002561/,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000254,subjective object,带有主观性的客体,,http://purl.obolibrary.org/obo/BFO_0000030,An object with subjective cognition.,,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000255,objective process,客观过程,,process,"A process in which tangible substances or objects undergo movement or change in a way that can be observed and measured independently, regardless of subjective interpretations or perceptions. It is a concept often used in scientific and objective contexts to describe the physical changes and movements of matter in the external world.",https://iep.utm.edu/objectiv/,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000256,subjective process,主观过程,,process,"A process refers to the mental processes involved in gaining knowledge and comprehension. Some of the many different cognitive processes include thinking, knowing, remembering, judging, and problem-solving.",https://www.verywellmind.com/what-is-cognition-2794982,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000257,decision making,决策,,subjective process,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000258,uncertainty analysis,不确定性分析,,planned process,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000259,sensitivity analysis,灵敏度分析,,uncertainty analysis,Study of how the uncertainty in the output of a mathematical model or system (numerical or otherwise) can be divided and allocated to different sources of uncertainty in its inputs.Conducted to understand the factors and processes that most (or least) control a model’s outputs ,https://en.wikipedia.org/wiki/Sensitivity_analysis,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000260,local sensitivity analysis,局部灵敏度分析,,sensitivity analysis,Model evaluation performed by varying uncertain factors around specific reference values.,https://uc-ebook.org/docs/html/6_glossary.html,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000261,global sensitivity analysis,全局灵敏度分析,,sensitivity analysis,Model evaluation performed by varying uncertain factors throughout their entire feasible value space.,https://uc-ebook.org/docs/html/6_glossary.html,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000262,screening sensitivity analysis,,,sensitivity analysis,,,Jinjing Guo|Oliver He|Jie Zheng,to be confirmed
OBCS:0000263,error propagation equations,误差传播方程,propagation of uncertainty|propagation of error,uncertainty analysis,"Equations aimed to assess how the quantified uncertainties in model  inputs propagate in model calculations to produce and uncertainty range in a given model  outcome of interest.In statistics, propagation of uncertainty (or propagation of error) is the effect of variables' uncertainties (or errors, more specifically random errors) on the uncertainty of a function based on them. When the variables are the values of experimental measurements they have uncertainties due to measurement limitations (e.g., instrument precision) which propagate due to the combination of variables in the function.",https://en.wikipedia.org/wiki/Propagation_of_uncertainty,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000264,Monte Carlo analysis,蒙特卡罗分析,Monte Carlo methods|Monte Carlo experiments,uncertainty analysis,A broad class of computational algorithms that rely on repeated random sampling to obtain numerical results.The goal of Monte Carlo analysis is to trace out the structure of the distributions of model output that results from specified uncertainty distributions of model inputs and model parameters.  ,https://en.wikipedia.org/wiki/Monte_Carlo_method,Jinjing Guo|Oliver He|Jie Zheng,
